Year,Month,Origin_Country,CustomsItem_2_Digits,CustomsItem_8_Digits,Exempt_CustomsItem,CustomsHouse,Quantity,Quantity_MeasurementUnitID,Quantity_MeasurementUnitName,TradeAgreementName,TermsOfSale,IsTradeAgreementWithQuota,NISCurrencyAmount,CurrencyCode,AutonomyTypeID,AutonomyType,GovernmentProcedureTypeName,GovernmentProcedureTypeEnglishName,IsPreferenceDocument,GeneralCustomsTax,PurchaseTax,VAT
2024,1,AE,87,87082990,-7319000000,Jordan River,1,1,Each,,CIF,0,9513.8,USD,,Israel,יבוא אישי,HomeUseImport,0,0,2100,2056
2024,1,AE,87,87089990,,Ben Gurion Airport,7,1,Each,,FCA,0,444.78,USD,,Israel,יבוא מסחרי,CommercialImport,1,0,97,103
2024,1,AE,90,90132000,,Ben Gurion Airport,1,1,Each,,DDU,0,6561.24,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,1127
2024,1,AE,90,90212190,,Ben Gurion Airport,7,6,Kilogram,,DDU,0,2870.12,AED,,Israel,יבוא אישי-בלדרים,HomeUseImportCourier,0,0,0,495
2024,1,AE,90,90212990,,Ben Gurion Airport,2,6,Kilogram,,DDP,0,401.01,AED,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,72
2024,1,AE,90,90261090,,Ben Gurion Airport,1,1,Each,,FCA,0,18916.63,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,3314
2024,1,AE,94,94016100,,Allenby,1,1,Each,,CIF,0,22.62,USD,1,Judea and Samaria,יבוא אישי-אוטונומיה,HomeUseImportAutonomy,0,0,0,4
2024,1,AE,94,94035000,,Allenby,2,1,Each,,CFR,0,753.95,USD,1,Judea and Samaria,יבוא אישי-אוטונומיה,HomeUseImportAutonomy,0,65,0,139
2024,1,AE,96,96039090,,Allenby,5,1,Each,,CIF,0,2148.76,USD,1,Judea and Samaria,יבוא אישי-אוטונומיה,HomeUseImportAutonomy,0,0,0,368
2024,1,BR,88,88073000,-4102000000,Ben Gurion Airport,4,6,Kilogram,,FOB,0,33206.97,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,0
2024,1,BR,90,90292011,,Ben Gurion Airport,1,1,Each,,EXW,0,5072.61,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0,0,997
2024,1,BR,94,94052900,-73030000,Ashdod,1,6,Kilogram,,,0,904.25,USD,,Israel,יבוא אישי,HomeUseImport,0,0,0,0
2024,1,BR,98,98015000,-73030000,Ashdod,3,1,Each,,,0,12829.08,USD,,Israel,יבוא אישי,HomeUseImport,0,0,0,0
2024,1,BR,98,98033000,,Ben Gurion Airport,1,1,Each,,CPT,0,305.35,USD,,Israel,יבוא אישי-בלדרים,HomeUseImportCourier,0,0,0,52
2024,1,BR,98,98049900,,Ben Gurion Airport,1,1,Each,,CPT,0,2572,USD,,Israel,יבוא אישי-בלדרים,HomeUseImportCourier,0,0,0,437
2024,1,BS,19,19059099,,Ashdod,7951.8,6,Kilogram,,CIF,0,44933.11,USD,1,Judea and Samaria,יבוא מסחרי-אוטונומיה,CommercialImportAutonomy,0,0,0,9602
2024,1,BY,4,4029900,,Ashdod,44460,6,Kilogram,,FCA,0,354847.35,EUR,,Israel,יבוא מסחרי,CommercialImport,0,154975,0,92211
2024,1,BY,17,17019990,,Ashdod,420,6,Kilogram,,FOB,0,2588.06,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,0,574
2024,1,BY,21,21039090,,Ashdod,360,6,Kilogram,,FOB,0,2913.42,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,0,647
2024,1,BY,67,67030000,,Ben Gurion Airport,7.2,6,Kilogram,,FOB,0,61967.3,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,10562
2024,1,BZ,85,85285990,,Ashdod,2,1,Each,,FOB,0,4557.15,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,867
2024,1,CA,7,7132000,,Haifa,24400,6,Kilogram,CAN,CIF,1,114537.85,USD,,Israel,יבוא מסחרי,CommercialImport,0,616,0,20170
2024,1,CA,29,29349900,,Ben Gurion Airport,1,6,Kilogram,,EXW,0,236.25,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0,0,46
2024,1,CA,29,29349900,,Ben Gurion Airport,1,6,Kilogram,,FOB,0,11.02,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,3
2024,1,CA,29,29349900,,Ben Gurion Airport,2,6,Kilogram,,DAP,0,655.27,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,112
2024,1,CA,30,30019090,,Ben Gurion Airport,1,6,Kilogram,,FOB,0,3.65,USD,,Israel,יבוא מסחרי-מסירה ישירה-בליווי נוסע,ComercialImportImmediateReleaseCarriedByPassenger,0,0,0,0
2024,1,CA,30,30019090,,Ben Gurion Airport,8,6,Kilogram,,FOB,0,4.12,CAD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,0
2024,1,CA,30,30024100,,Ben Gurion Airport,2500,6,Kilogram,,CIP,0,203900,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0,0,34663
2024,1,CA,30,30042000,,Ben Gurion Airport,399,6,Kilogram,,CIP,0,139538.28,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0,0,23722
2024,1,CA,30,30044900,,Haifa,20,6,Kilogram,,EXW,0,6936.35,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,1227
2024,1,CA,30,30049000,,Ben Gurion Airport,1,6,Kilogram,,FOB,0,112.19,CAD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,21
2024,1,BE,84,84219990,,Ben Gurion Airport,492,6,Kilogram,,CPT,0,104614.55,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,0,17785
2024,1,BE,84,84312000,,Ashdod,50,6,Kilogram,EU,FCA,0,12639.37,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0,0,2206
2024,1,BE,84,84312000,,Haifa,26.025,6,Kilogram,EU,DPU,0,2325.16,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0,0,407
2024,1,BE,84,84313100,,Ben Gurion Airport,2,6,Kilogram,,CPT,0,254.93,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,0,52
2024,1,BE,84,84314990,,Ben Gurion Airport,1.86,6,Kilogram,,DDU,0,386.82,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,70
2024,1,BE,84,84339000,,Ben Gurion Airport,3,6,Kilogram,,DDU,0,876.57,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,0,161
2024,1,BE,84,84339000,,Ben Gurion Airport,91,6,Kilogram,,FOB,0,8370,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,1732
2024,1,BE,84,84389090,,Ben Gurion Airport,2.5,6,Kilogram,,DDU,0,3333.9,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,575
2024,1,BE,84,84419010,,Ben Gurion Airport,1.18,6,Kilogram,,DDU,0,1303.79,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,231
2024,1,BE,84,84439900,,Ashdod,3,1,Each,,FCA,0,196594.99,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,33932
2024,1,BE,84,84483200,,Ben Gurion Airport,3.6,6,Kilogram,,FOB,0,927.28,EUR,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,169
2024,1,BE,84,84669490,,Ben Gurion Airport,15,6,Kilogram,EU,FCA,0,21990.33,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0,0,3777
2024,1,CA,92,92099400,,Ben Gurion Airport,3,6,Kilogram,,FOB,0,11322.04,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,1940
2024,1,CA,94,94039900,,Ashdod,2,1,Each,,CPT,0,678,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0,0,120
2024,1,CA,95,95067000,,Ben Gurion Airport,1,2,Pair,,DDP,0,2827.28,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,481
2024,1,CA,98,98033000,,Center,104,1,Each,,FOB,0,98244.36,USD,,Israel,יבוא אישי-EMS,HomeUseImportEMS,0,0,0,17059
2024,1,CA,98,98049900,,Ben Gurion Airport,2,1,Each,,DDP,0,3803.97,CAD,,Israel,יבוא אישי-בלדרים,HomeUseImportCourier,0,0,0,663
2024,1,CH,4,4069099,,Ashdod,432.71,6,Kilogram,,FOB,0,18362.92,EUR,,Israel,יבוא מסחרי,CommercialImport,0,3544,0,3852
2024,1,CA,73,73269099,-6120000000,Ben Gurion Airport,1,6,Kilogram,,DDP,0,2.18,CAD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,0
2024,1,CA,76,76071900,-6120000000,Ben Gurion Airport,1,6,Kilogram,,CPT,0,145.65,CAD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,0
2024,1,CA,76,76169999,,Ben Gurion Airport,104,1,Each,CAN,DDU,0,130606.88,CAD,,Israel,יבוא מסחרי,CommercialImport,1,0,0,22342
2024,1,CA,76,76169999,,Ben Gurion Airport,17,1,Each,,EXW,0,183122.29,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,32147
2024,1,CA,79,79011100,,Ben Gurion Airport,5.5,6,Kilogram,,EXW,0,8043,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,1434
2024,1,CA,81,81129900,,Ben Gurion Airport,1,6,Kilogram,,EXW,0,211.05,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0,0,40
2024,1,CA,82,82079090,,Ben Gurion Airport,1,6,Kilogram,,FCA,0,1091.26,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,188
2024,1,CA,82,82079090,-8101010000,Ben Gurion Airport,0.6,6,Kilogram,,EXW,0,1941,USD,,Israel,יבוא מסחרי-בלדרים,CommercialImportCourier,0,0,0,0
2024,1,CA,83,83021000,,Ashdod,5,6,Kilogram,,EXW,0,261.62,USD,,Israel,יבוא מסחרי,CommercialImport,1,0,0,48
2024,1,CA,83,83021000,,Ben Gurion Airport,14,6,Kilogram,,EXW,0,1635.92,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,330
2024,1,CA,83,83023019,,Ben Gurion Airport,1,6,Kilogram,,FCA,0,92.41,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,19,20
2024,1,CA,83,83024900,,Ben Gurion Airport,19.5,6,Kilogram,,FCA,0,14794.28,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,2612
2024,1,CA,83,83024900,,Ben Gurion Airport,8,6,Kilogram,,FCA,0,1403.82,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0,0,257
2024,1,CA,83,83099090,,Ben Gurion Airport,1,6,Kilogram,,CPT,0,1487.24,USD,,Israel,יבוא מסחרי,CommercialImport,0,0,0,253
