manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
Renault,2022,רנו קליאו,1,אוטומטית,1000,בנזין,פרטית,פרטית,,בית ג'ן,90000,3,27/02/2024,27/02/2024,"*למכירה !!!*📣📣📣
 רכב במצב מעולה-הזדמנות לקנייה מושלמת 🤩

 *דגם:* רנו קליאו איטנס
 *שנת יצור:* 2022 יד ראשונה (עליה לכביש באפריל)
 *מנוע:* טורבו אוטו' (999)91 כ""ס
 *צבע:* תכלת מיוחד!

 *פרטים נוספים:* רכב שמור ונקי כמו חדש, אחריות מורחבת עד 2027, נהגת יחידה, מראות מתכפלות, טסט עד 2025/ 30,000 ק""מ.

 *סיבת המכירה :* רכב שני בבית

לפרטים נוספים נא ליצור קשר : 0544558964",תכלת,20500,אפר-25,
Renault,2020,רנו מגאן אסטייט/ גראנד טור,2,אוטומטית,1500,דיזל,ליסינג,פרטית,חיפה וחוף הכרמל,נשר,64000,10,17/01/2024,17/01/2024,"יד שניה פרטית !!!
ידראשונה היה ליסינג פרטי !!!
מטופל רק בחברה !!!
מתחייב בבדיקה !!!
מחירון בסיס 90.000",לבן,154000,,
Renault,2018,רנו מגאן קופה / ספורט,2,אוטומטית,1600,דיזל,ליסינג,פרטית,אשדוד - אשקלון,אשקלון,65000,3,04/12/2023,04/12/2023,"רנו גראנד קופה
שמורה",אפור מטאלי,160000,,
Renault,2018,רנו מגאן,2,אוטומטית,1500,דיזל,ליסינג,פרטית,אשדוד - אשקלון,אשקלון,65000,3,15/08/2023,04/12/2023,"גראנד קופה
יד 01 היה ליסינג עכשיו פרטי.
156,000 ק""מ
דיזל
שמור ומטופל.",אפור,156000,,
Renault,2019,רנו מגאן,3,אוטומטית,1500,דיזל,פרטית,פרטית,גליל ועמקים,נצרת,78000,4,19/11/2023,19/11/2023,"רכב שמור מאוד מטופל בזמן מנוע דיזל הדגם המוצלח ביותר עם גג נפתח, מצב כמו חדש יד 03 (עבר ידיים תוך המשפחה) מחיר גמיש",לבן,60000,אוג-24,
Renault,2016,רנו פלואנס,1,אוטומטית,1500,דיזל,פרטית,פרטית,גליל ועמקים,מעלות תרשיחא,35000,1,07/11/2023,14/11/2023,"רנו פלואנס 9/2016
דגם פריוול׳ג 1.5 טורבו דיזל. 
יד 00 , 240 אלף ק""מ. 

תוספות מהחברה : 
מראות מתקפלות 
כניסה והנעה בלי מפתח 
סאנרוף
ספויילר 

טסט נעשה בחודש 9 
טיפול 10,000 נעשה באותו היום עם הטסט 
בנוסף הוחלף פילטר סולר 
לפני חצי שנה הוחלפו בולמי זעזועים אחוריים וברקסים

לפני שנה הוחלפה המערכת למסך 9 אינץ 
עם סאב ומגבר (בתוספת תשלום ) 
לפני חודש נעשה 
ppf לפנסים הקדמיים 
והשחרת סמלים 
ברכב מותקת מצלמה 24/7. 
מתחייב בבדיקה.",שחור,240000,ספט-24,
Renault,2017,רנו זואי,2,אוטומטית,800,חשמלי,השכרה,פרטית,בית שמש והסביבה,בית שמש,55000,4,25/08/2023,25/08/2023,,אפור,32000,,
Renault,2016,רנו קליאו אסטייט,2,אוטומטית,1200,בנזין,פרטית,פרטית,עכו - נהריה,עכו,35000,5,17/08/2023,17/08/2023,"למכירה בעכו!
רנו קליאו סטיישן.
שנה 2016/12
מנועה 1.2 טורבו,בנזין
95000 ק""מ 
יד 2 פרטית
מחיר 35000(גמיש) (מחירון 40000)
שמורה,ללא תאונות,כל הטיפולים בזמן.
טלפון:0526835779",שחור,95000,,
Renault,2018,רנו מגאן קופה / ספורט,2,אוטומטית,1500,דיזל,פרטית,פרטית,נתניה והסביבה,נתניה,50000,7,09/07/2023,09/07/2023,"🔥🔥רנו מגאן-גרנד קופה דיזל🔥🔥

🔥🔥רנו מגאן-גרנד קופה דיזל🔥🔥

⚫️מודל-2018
⚫️קילומטר-173,500 km
⚫️ ‏יד 02 ב ‏רישיון
⚫️דגם-zen 
⚫️מנוע-1500 טורבו דיזל,המפיק 110 כח סוס🐎
⚫️טסט עוד 03/01/2024
⚫️התחייבות מלאה בבדיקה
‏מחיר סופי 55,000 ￼
רכב במצב מצויין,שמור ומטופל היטב,ללא תאונות,חסכוני ואמין,קילומטר נמוך,דגם מפואר-מסך מולטמדיה ענקי,גנטים,פנסי לד,שליטה מלאה מההגה,ריפודי עור אלקנטרה,הנעה ללא מפתח ועוד מגוון תוספות🤩",לבן,173500,,
Renault,2018,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,31990,5,07/07/2023,07/07/2023,רנו קליאו סטיישן דיזל 1.5 2018,לבן,175000,,
